epoch,step,progress,cls_loss,domain_loss,disc_acc,alpha,feat_norm,loss
8,1540,0.25271,0.149337,0.70492,0.395833,0.852039,48.30624,0.854257
8,1550,0.25435,0.077238,0.715567,0.479167,0.854273,53.256462,0.792805
8,1560,0.25599,0.036356,0.709262,0.479167,0.856476,101.348198,0.745618
8,1570,0.25764,0.03165,0.65917,0.645833,0.858648,67.553757,0.69082
8,1580,0.25928,0.145263,0.683217,0.583333,0.86079,60.963451,0.82848
8,1590,0.26092,0.015199,0.659325,0.604167,0.862902,63.077511,0.674524
8,1600,0.26256,0.070358,0.684967,0.5,0.864984,64.741806,0.755325
8,1610,0.2642,0.090245,0.683217,0.5625,0.867037,59.560986,0.773462
8,1620,0.26585,0.075865,0.668264,0.645833,0.869061,61.979141,0.744128
9,1630,0.26749,0.04116,0.695596,0.541667,0.871056,63.596046,0.736755
9,1640,0.26913,0.061305,0.885084,0.1875,0.873022,83.666801,0.946389
9,1650,0.27077,0.083785,0.844951,0.208333,0.874961,68.449486,0.928736
9,1660,0.27241,0.1176,0.784386,0.25,0.876872,107.657333,0.901986
9,1670,0.27406,0.026736,0.725458,0.270833,0.878756,85.095947,0.752194
9,1680,0.2757,0.000247,0.686047,0.520833,0.880613,128.417099,0.686293
9,1690,0.27734,0.021333,0.67669,0.645833,0.882443,144.893967,0.698023
9,1700,0.27898,0.002777,0.622295,0.8125,0.884246,135.167953,0.625072
9,1710,0.28062,0.112908,0.626713,0.770833,0.886024,89.860062,0.739621
9,1720,0.28227,0.020856,0.647336,0.729167,0.887776,71.65789,0.668192
9,1730,0.28391,0.006724,0.662634,0.770833,0.889503,78.508087,0.669358
9,1740,0.28555,0.099724,0.665901,0.6875,0.891205,65.125397,0.765624
9,1750,0.28719,0.049726,0.685947,0.5,0.892882,55.852489,0.735673
9,1760,0.28883,0.176349,0.72867,0.5,0.894534,65.820648,0.905019
9,1770,0.29048,0.198789,0.698375,0.479167,0.896163,61.141739,0.897164
9,1780,0.29212,0.126934,0.748299,0.375,0.897767,57.220665,0.875234
9,1790,0.29376,0.199391,0.710581,0.395833,0.899349,64.230301,0.909973
9,1800,0.2954,0.08331,0.696863,0.458333,0.900907,66.27121,0.780173
9,1810,0.29704,0.01861,0.660657,0.645833,0.902442,70.089142,0.679266
9,1820,0.29869,0.064899,0.687735,0.5,0.903954,58.880276,0.752634
10,1830,0.30033,0.013582,0.743761,0.291667,0.905445,59.857742,0.757343
10,1840,0.30197,0.10682,0.688723,0.479167,0.906913,68.639679,0.795543
10,1850,0.30361,0.010991,0.751838,0.354167,0.908359,61.814159,0.762829
10,1860,0.30525,0.038587,0.73632,0.5,0.909785,63.137108,0.774907
10,1870,0.3069,0.00849,0.800426,0.270833,0.911189,75.85257,0.808916
10,1880,0.30854,0.016546,0.731838,0.375,0.912572,79.098412,0.748385
10,1890,0.31018,0.006376,0.717472,0.375,0.913934,83.888062,0.723848
10,1900,0.31182,0.004522,0.682537,0.5625,0.915277,103.255798,0.687059
10,1910,0.31346,0.052802,0.707779,0.5,0.916599,64.87999,0.760581
10,1920,0.31511,0.21164,0.690165,0.416667,0.917902,54.549267,0.901804
10,1930,0.31675,0.179274,0.714072,0.479167,0.919185,55.56292,0.893346
10,1940,0.31839,0.090889,0.70056,0.479167,0.920448,58.492657,0.791449
10,1950,0.32003,0.038065,0.683888,0.541667,0.921693,55.843269,0.721953
10,1960,0.32167,0.010589,0.669872,0.541667,0.922919,61.269463,0.680461
10,1970,0.32332,0.010667,0.684373,0.5625,0.924127,62.936874,0.69504
10,1980,0.32496,0.046486,0.67748,0.666667,0.925317,66.494598,0.723966
10,1990,0.3266,0.011705,0.701248,0.479167,0.926488,70.585266,0.712953
10,2000,0.32824,0.41961,0.686839,0.5625,0.927642,65.501564,1.106449
10,2010,0.32989,0.251732,0.729864,0.416667,0.928779,50.368999,0.981596
10,2020,0.33153,0.049648,0.733455,0.270833,0.929898,60.713646,0.783103
10,2030,0.33317,0.011463,0.696346,0.479167,0.931,57.301872,0.707809
11,2040,0.33481,0.146617,0.727202,0.291667,0.932086,89.391769,0.873819
11,2050,0.33645,0.027344,0.690461,0.625,0.933155,124.5233,0.717805
11,2060,0.3381,0.020623,0.648678,0.729167,0.934208,164.547821,0.669301
11,2070,0.33974,0.009817,0.646693,0.75,0.935245,143.679565,0.65651
11,2080,0.34138,0.009352,0.595346,0.833333,0.936266,145.25029,0.604698
11,2090,0.34302,0.003641,0.576576,0.895833,0.937271,184.857117,0.580216
11,2100,0.34466,0.076976,0.687403,0.583333,0.938261,74.529037,0.76438
11,2110,0.34631,0.161965,0.7123,0.583333,0.939236,62.111031,0.874265
11,2120,0.34795,0.097908,0.768983,0.375,0.940196,71.864067,0.86689
11,2130,0.34959,0.266394,0.684653,0.708333,0.941141,61.002026,0.951046
11,2140,0.35123,0.109423,0.75004,0.458333,0.942072,46.931885,0.859463
11,2150,0.35287,0.005476,0.678691,0.583333,0.942989,69.660393,0.684168
11,2160,0.35452,0.066126,0.638214,0.8125,0.943891,88.197144,0.70434
11,2170,0.35616,0.062611,0.644462,0.8125,0.94478,81.961487,0.707073
