epoch,step,progress,cls_loss,sam_loss,sam_gap,grad_norm,loss
9,1820,0.29869,0.065533,0.252212,0.186679,2.453654,0.065533
10,1830,0.30033,0.038677,0.305948,0.267271,2.427674,0.038677
10,1840,0.30197,0.010134,0.056535,0.0464,0.416315,0.010134
10,1850,0.30361,0.012074,0.09589,0.083816,0.798072,0.012074
10,1860,0.30525,0.028419,0.168651,0.140232,1.261923,0.028419
10,1870,0.3069,0.073971,0.238603,0.164631,3.240978,0.073971
10,1880,0.30854,0.030003,0.170033,0.14003,1.28786,0.030003
10,1890,0.31018,0.014097,0.083055,0.068959,0.645893,0.014097
10,1900,0.31182,0.019336,0.189517,0.170182,1.298793,0.019336
10,1910,0.31346,0.022707,0.135789,0.113082,1.221165,0.022707
10,1920,0.31511,0.000667,0.010554,0.009887,0.03795,0.000667
10,1930,0.31675,0.012306,0.097709,0.085402,0.574511,0.012306
10,1940,0.31839,0.04088,0.228825,0.187946,2.53955,0.04088
10,1950,0.32003,0.045817,0.152901,0.107085,1.232531,0.045817
10,1960,0.32167,0.050642,0.163542,0.1129,1.464966,0.050642
10,1970,0.32332,0.005892,0.048746,0.042854,0.302618,0.005892
10,1980,0.32496,0.10099,0.257698,0.156708,2.493822,0.10099
10,1990,0.3266,0.015897,0.135201,0.119304,0.848381,0.015897
10,2000,0.32824,0.018573,0.0734,0.054826,0.587494,0.018573
10,2010,0.32989,0.046777,0.180011,0.133234,1.456096,0.046777
10,2020,0.33153,0.003825,0.12429,0.120466,0.286445,0.003825
10,2030,0.33317,0.006155,0.101365,0.09521,0.351272,0.006155
11,2040,0.33481,0.054477,0.168817,0.11434,1.860633,0.054477
11,2050,0.33645,0.028864,0.115709,0.086845,1.013094,0.028864
11,2060,0.3381,0.005372,0.066838,0.061466,0.432386,0.005372
11,2070,0.33974,0.00319,0.098268,0.095078,0.242267,0.00319
11,2080,0.34138,0.00204,0.027632,0.025592,0.108746,0.00204
11,2090,0.34302,0.001959,0.021179,0.01922,0.095458,0.001959
11,2100,0.34466,0.012069,0.131552,0.119483,0.548328,0.012069
11,2110,0.34631,0.008426,0.161896,0.15347,0.555303,0.008426
11,2120,0.34795,0.022837,0.329697,0.30686,2.048802,0.022837
11,2130,0.34959,0.011167,0.142087,0.13092,0.691749,0.011167
11,2140,0.35123,0.040695,0.129579,0.088884,1.151153,0.040695
11,2150,0.35287,0.009099,0.050426,0.041326,0.370437,0.009099
11,2160,0.35452,0.026555,0.131175,0.104621,1.211589,0.026555
11,2170,0.35616,0.00883,0.080325,0.071496,0.425555,0.00883
11,2180,0.3578,0.01351,0.136309,0.122799,0.902062,0.01351
11,2190,0.35944,0.005937,0.168814,0.162877,0.623796,0.005937
11,2200,0.36108,0.001231,0.040014,0.038783,0.077729,0.001231
11,2210,0.36273,0.016653,0.098186,0.081532,0.722705,0.016653
11,2220,0.36437,0.01294,0.173708,0.160769,0.818911,0.01294
11,2230,0.36601,0.016933,0.133662,0.116728,0.995392,0.016933
12,2240,0.36765,0.031268,0.123817,0.092549,1.10856,0.031268
12,2250,0.36929,0.001857,0.050683,0.048826,0.145417,0.001857
12,2260,0.37094,0.040816,0.402782,0.361966,2.225046,0.040816
12,2270,0.37258,0.02381,0.172729,0.148918,1.049575,0.02381
12,2280,0.37422,0.053358,0.257096,0.203738,2.387044,0.053358
12,2290,0.37586,0.029659,0.160532,0.130873,1.223295,0.029659
12,2300,0.3775,0.051392,0.187961,0.136569,1.597528,0.051392
12,2310,0.37915,0.071186,0.247442,0.176256,2.471104,0.071186
12,2320,0.38079,0.029883,0.19003,0.160147,1.307905,0.029883
12,2330,0.38243,0.006274,0.093738,0.087464,0.370363,0.006274
12,2340,0.38407,0.006272,0.076914,0.070642,0.391648,0.006272
12,2350,0.38571,0.010843,0.087671,0.076828,0.622632,0.010843
12,2360,0.38736,0.026856,0.118353,0.091497,1.111963,0.026856
12,2370,0.389,0.057792,0.149302,0.091509,1.349745,0.057792
12,2380,0.39064,0.015455,0.068097,0.052642,1.215952,0.015455
12,2390,0.39228,0.01422,0.173335,0.159114,0.820543,0.01422
