epoch,step,progress,cls_loss,domain_loss,disc_acc,alpha,feat_norm,loss
10,1850,0.30361,0.007615,0.665673,0.708333,0.908359,53.480583,0.673288
10,1860,0.30525,0.330861,0.697825,0.395833,0.909785,57.989357,1.028687
10,1870,0.3069,0.177792,0.716324,0.3125,0.911189,69.01738,0.894116
10,1880,0.30854,0.172408,0.708901,0.4375,0.912572,69.464287,0.881309
10,1890,0.31018,0.001937,0.709177,0.354167,0.913934,88.819847,0.711115
10,1900,0.31182,0.004099,0.682263,0.645833,0.915277,98.208069,0.686362
10,1910,0.31346,0.024726,0.673123,0.729167,0.916599,108.804832,0.69785
10,1920,0.31511,0.000382,0.686261,0.583333,0.917902,72.752098,0.686644
10,1930,0.31675,0.026658,0.707548,0.5,0.919185,61.773254,0.734206
10,1940,0.31839,0.137464,0.707862,0.4375,0.920448,75.266953,0.845326
10,1950,0.32003,0.018357,0.710113,0.416667,0.921693,70.622185,0.72847
10,1960,0.32167,0.076762,0.723867,0.354167,0.922919,67.838242,0.80063
10,1970,0.32332,0.011567,0.704129,0.395833,0.924127,59.706997,0.715696
10,1980,0.32496,0.224723,0.696425,0.5,0.925317,51.52581,0.921149
10,1990,0.3266,0.153719,0.701097,0.395833,0.926488,59.568878,0.854816
10,2000,0.32824,0.032266,0.686634,0.541667,0.927642,53.441833,0.718899
10,2010,0.32989,0.067805,0.690698,0.5625,0.928779,47.073685,0.758503
10,2020,0.33153,0.001647,0.687318,0.583333,0.929898,57.31662,0.688964
10,2030,0.33317,0.001462,0.69129,0.5,0.931,61.294579,0.692753
11,2040,0.33481,0.01489,0.704533,0.333333,0.932086,53.331627,0.719423
11,2050,0.33645,0.091703,0.695963,0.4375,0.933155,46.235207,0.787666
11,2060,0.3381,0.00502,0.695718,0.4375,0.934208,47.546722,0.700739
11,2070,0.33974,0.002355,0.694504,0.479167,0.935245,62.04364,0.696859
11,2080,0.34138,0.030363,0.679654,0.645833,0.936266,61.725029,0.710017
11,2090,0.34302,0.086177,0.68423,0.625,0.937271,64.400085,0.770407
11,2100,0.34466,0.047585,0.693086,0.541667,0.938261,58.498863,0.740671
11,2110,0.34631,0.222989,0.672321,0.708333,0.939236,58.68911,0.89531
11,2120,0.34795,0.006712,0.679808,0.625,0.940196,54.94828,0.68652
11,2130,0.34959,0.021814,0.683627,0.5625,0.941141,61.777676,0.705441
11,2140,0.35123,0.018435,0.701463,0.479167,0.942072,49.378124,0.719898
11,2150,0.35287,0.011823,0.716324,0.333333,0.942989,58.759262,0.728147
11,2160,0.35452,0.012463,0.705956,0.354167,0.943891,56.412323,0.718419
11,2170,0.35616,0.009858,0.694655,0.479167,0.94478,62.295807,0.704513
11,2180,0.3578,0.046364,0.682279,0.708333,0.945655,85.048737,0.728643
11,2190,0.35944,0.000651,0.666924,0.6875,0.946516,67.088623,0.667575
11,2200,0.36108,0.00309,0.683534,0.770833,0.947364,95.208176,0.686624
11,2210,0.36273,0.075019,0.70222,0.416667,0.948199,161.990631,0.777239
11,2220,0.36437,0.031829,0.687321,0.458333,0.949021,59.129639,0.71915
11,2230,0.36601,0.002978,0.722032,0.375,0.949831,61.10321,0.72501
